,PV_generation,Price,Consumption,charging,SOC
0,0.0,0.068,4342.29517677774,673.3758835223292,0.13165602911941768
1,0.0,0.0627,2878.178359247494,326.62411647767067,0.05000000000000002
2,0.0,0.056,2890.692178200744,4.1633923163000135e-14,0.05
3,0.0,0.0501,3153.482376218993,-5.485943795479896e-14,0.05000000000000002
4,0.0,0.05,2803.095445527994,3.182102134471443e-14,0.05000000000000001
5,0.0,0.048,2853.150721340994,-74.83135183209366,0.06870783795802343
6,0.0,0.05,2853.150721340994,-15.928800681459654,0.07269003812838834
7,0.0,0.04,3729.118048068492,-614.837941406196,0.22639952347993736
8,2636.635819776,0.045899999999999996,5255.8039603649895,-486.036374652515,0.3479086171430661
9,5635.947139200001,0.056350000000000004,3704.090410161992,-136.6741780077165,0.3820771616449952
10,8022.040631808,0.0605,4517.48864212324,-4.298032225772755,0.38315166970143844
11,9434.583879168002,0.06,763.3429561482484,-197.88067069784356,0.4326218373758993
12,9607.804526208001,0.0675,625.6909476624987,226.36867235473989,0.3760296692872144
13,8775.508605696,0.066,625.6909476624987,45.23307129542871,0.3647214014633572
14,6977.361135360001,0.066,6031.660735466488,-37.5609107141342,0.3741116291418907
15,4086.668366592001,0.06620000000000001,4029.449702946492,-31.363574991237787,0.38195252288970016
16,198.49245158400004,0.08675,4842.84793490774,511.51472786305465,0.2540738409239365
17,0.0,0.09,4066.9911598062417,760.7765047610976,0.06387971473366208
18,0.0,0.0752,3616.493677489242,55.51885893464826,0.05000000000000002
19,0.0,0.0669,5443.511244663739,3.9733366187023444e-14,0.05000000000000001
20,0.0,0.0627,8121.468500659233,-11.370863645778542,0.05284271591144465
21,0.0,0.063,9047.49110319973,11.370863645778556,0.05000000000000001
22,0.0,0.05,8108.954681705984,-720.303664651377,0.23007591616284426
23,0.0,0.0645,5105.638132925989,609.9869327305964,0.07757918298019514
24,0.0,0.064,4354.80899573099,110.31673192078051,0.05000000000000002
25,0.0,0.058,3140.968557265743,5.934189383578249e-14,0.05
