,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,charging,SOC
0,0.068,0.0627,0.056,0.0501,0.05,0.0,0.0,0.0,0.0,0.0,4342.29517677774,2878.178359247494,2890.692178200744,3153.482376218993,2803.095445527994,673.3758835223292,0.13165602911941768
1,0.0627,0.056,0.0501,0.05,0.048,0.0,0.0,0.0,0.0,0.0,2878.178359247494,2890.692178200744,3153.482376218993,2803.095445527994,2853.150721340994,326.62411647767067,0.05000000000000002
2,0.056,0.0501,0.05,0.048,0.05,0.0,0.0,0.0,0.0,0.0,2890.692178200744,3153.482376218993,2803.095445527994,2853.150721340994,2853.150721340994,4.1633923163000135e-14,0.05
3,0.0501,0.05,0.048,0.05,0.04,0.0,0.0,0.0,0.0,0.0,3153.482376218993,2803.095445527994,2853.150721340994,2853.150721340994,3729.118048068492,-5.485943795479896e-14,0.05000000000000002
4,0.05,0.048,0.05,0.04,0.045899999999999996,0.0,0.0,0.0,0.0,2636.635819776,2803.095445527994,2853.150721340994,2853.150721340994,3729.118048068492,5255.8039603649895,3.182102134471443e-14,0.05000000000000001
5,0.048,0.05,0.04,0.045899999999999996,0.056350000000000004,0.0,0.0,0.0,2636.635819776,5635.947139200001,2853.150721340994,2853.150721340994,3729.118048068492,5255.8039603649895,3704.090410161992,-74.83135183209366,0.06870783795802343
6,0.05,0.04,0.045899999999999996,0.056350000000000004,0.0605,0.0,0.0,2636.635819776,5635.947139200001,8022.040631808,2853.150721340994,3729.118048068492,5255.8039603649895,3704.090410161992,4517.48864212324,-15.928800681459654,0.07269003812838834
7,0.04,0.045899999999999996,0.056350000000000004,0.0605,0.06,0.0,2636.635819776,5635.947139200001,8022.040631808,9434.583879168002,3729.118048068492,5255.8039603649895,3704.090410161992,4517.48864212324,763.3429561482484,-614.837941406196,0.22639952347993736
8,0.045899999999999996,0.056350000000000004,0.0605,0.06,0.0675,2636.635819776,5635.947139200001,8022.040631808,9434.583879168002,9607.804526208001,5255.8039603649895,3704.090410161992,4517.48864212324,763.3429561482484,625.6909476624987,-486.036374652515,0.3479086171430661
9,0.056350000000000004,0.0605,0.06,0.0675,0.066,5635.947139200001,8022.040631808,9434.583879168002,9607.804526208001,8775.508605696,3704.090410161992,4517.48864212324,763.3429561482484,625.6909476624987,625.6909476624987,-136.6741780077165,0.3820771616449952
10,0.0605,0.06,0.0675,0.066,0.066,8022.040631808,9434.583879168002,9607.804526208001,8775.508605696,6977.361135360001,4517.48864212324,763.3429561482484,625.6909476624987,625.6909476624987,6031.660735466488,-4.298032225772755,0.38315166970143844
11,0.06,0.0675,0.066,0.066,0.06620000000000001,9434.583879168002,9607.804526208001,8775.508605696,6977.361135360001,4086.668366592001,763.3429561482484,625.6909476624987,625.6909476624987,6031.660735466488,4029.449702946492,-197.88067069784356,0.4326218373758993
12,0.0675,0.066,0.066,0.06620000000000001,0.08675,9607.804526208001,8775.508605696,6977.361135360001,4086.668366592001,198.49245158400004,625.6909476624987,625.6909476624987,6031.660735466488,4029.449702946492,4842.84793490774,226.36867235473989,0.3760296692872144
13,0.066,0.066,0.06620000000000001,0.08675,0.09,8775.508605696,6977.361135360001,4086.668366592001,198.49245158400004,0.0,625.6909476624987,6031.660735466488,4029.449702946492,4842.84793490774,4066.9911598062417,45.23307129542871,0.3647214014633572
14,0.066,0.06620000000000001,0.08675,0.09,0.0752,6977.361135360001,4086.668366592001,198.49245158400004,0.0,0.0,6031.660735466488,4029.449702946492,4842.84793490774,4066.9911598062417,3616.493677489242,-37.5609107141342,0.3741116291418907
15,0.06620000000000001,0.08675,0.09,0.0752,0.0669,4086.668366592001,198.49245158400004,0.0,0.0,0.0,4029.449702946492,4842.84793490774,4066.9911598062417,3616.493677489242,5443.511244663739,-31.363574991237787,0.38195252288970016
